Class,Sex,Age,Survived
1,Male,Child,No
2,Male,Child,No
3,Male,Child,No
4,Male,Child,No
5,Male,Child,No
6,Male,Child,No
7,Male,Child,No
8,Male,Child,No
9,Male,Child,No
10,Male,Child,No
11,Male,Child,No
12,Male,Child,No
13,Male,Child,No
14,Male,Child,No
15,Male,Child,No
16,Male,Child,No
17,Male,Child,No
18,Male,Child,No
19,Male,Child,No
20,Male,Child,No
21,Male,Child,No
22,Male,Child,No
23,Male,Child,No
24,Male,Child,No
25,Male,Child,No
26,Male,Child,No
27,Male,Child,No
28,Male,Child,No
29,Male,Child,No
30,Male,Child,No
31,Male,Child,No
32,Male,Child,No
33,Male,Child,No
34,Male,Child,No
35,Male,Child,No
36,Female,Child,No
37,Female,Child,No
38,Female,Child,No
39,Female,Child,No
40,Female,Child,No
41,Female,Child,No
42,Female,Child,No
43,Female,Child,No
44,Female,Child,No
45,Female,Child,No
46,Female,Child,No
47,Female,Child,No
48,Female,Child,No
49,Female,Child,No
50,Female,Child,No
51,Female,Child,No
52,Female,Child,No
53,Male,Adult,No
54,Male,Adult,No
55,Male,Adult,No
56,Male,Adult,No
57,Male,Adult,No
58,Male,Adult,No
59,Male,Adult,No
60,Male,Adult,No
61,Male,Adult,No
62,Male,Adult,No
63,Male,Adult,No
64,Male,Adult,No
65,Male,Adult,No
66,Male,Adult,No
67,Male,Adult,No
68,Male,Adult,No
69,Male,Adult,No
70,Male,Adult,No
71,Male,Adult,No
72,Male,Adult,No
73,Male,Adult,No
74,Male,Adult,No
75,Male,Adult,No
76,Male,Adult,No
77,Male,Adult,No
78,Male,Adult,No
79,Male,Adult,No
80,Male,Adult,No
81,Male,Adult,No
82,Male,Adult,No
83,Male,Adult,No
84,Male,Adult,No
85,Male,Adult,No
86,Male,Adult,No
87,Male,Adult,No
88,Male,Adult,No
89,Male,Adult,No
90,Male,Adult,No
91,Male,Adult,No
92,Male,Adult,No
93,Male,Adult,No
94,Male,Adult,No
95,Male,Adult,No
96,Male,Adult,No
97,Male,Adult,No
98,Male,Adult,No
99,Male,Adult,No
100,Male,Adult,No
101,Male,Adult,No
102,Male,Adult,No
103,Male,Adult,No
104,Male,Adult,No
105,Male,Adult,No
106,Male,Adult,No
107,Male,Adult,No
108,Male,Adult,No
109,Male,Adult,No
110,Male,Adult,No
111,Male,Adult,No
112,Male,Adult,No
113,Male,Adult,No
114,Male,Adult,No
115,Male,Adult,No
116,Male,Adult,No
117,Male,Adult,No
118,Male,Adult,No
119,Male,Adult,No
120,Male,Adult,No
121,Male,Adult,No
122,Male,Adult,No
123,Male,Adult,No
124,Male,Adult,No
125,Male,Adult,No
126,Male,Adult,No
127,Male,Adult,No
128,Male,Adult,No
129,Male,Adult,No
130,Male,Adult,No
131,Male,Adult,No
132,Male,Adult,No
133,Male,Adult,No
134,Male,Adult,No
135,Male,Adult,No
136,Male,Adult,No
137,Male,Adult,No
138,Male,Adult,No
139,Male,Adult,No
140,Male,Adult,No
141,Male,Adult,No
142,Male,Adult,No
143,Male,Adult,No
144,Male,Adult,No
145,Male,Adult,No
146,Male,Adult,No
147,Male,Adult,No
148,Male,Adult,No
149,Male,Adult,No
150,Male,Adult,No
151,Male,Adult,No
152,Male,Adult,No
153,Male,Adult,No
154,Male,Adult,No
155,Male,Adult,No
156,Male,Adult,No
157,Male,Adult,No
158,Male,Adult,No
159,Male,Adult,No
160,Male,Adult,No
161,Male,Adult,No
162,Male,Adult,No
163,Male,Adult,No
164,Male,Adult,No
165,Male,Adult,No
166,Male,Adult,No
167,Male,Adult,No
168,Male,Adult,No
169,Male,Adult,No
170,Male,Adult,No
171,Male,Adult,No
172,Male,Adult,No
173,Male,Adult,No
174,Male,Adult,No
175,Male,Adult,No
176,Male,Adult,No
177,Male,Adult,No
178,Male,Adult,No
179,Male,Adult,No
180,Male,Adult,No
181,Male,Adult,No
182,Male,Adult,No
183,Male,Adult,No
184,Male,Adult,No
185,Male,Adult,No
186,Male,Adult,No
187,Male,Adult,No
188,Male,Adult,No
189,Male,Adult,No
190,Male,Adult,No
191,Male,Adult,No
192,Male,Adult,No
193,Male,Adult,No
194,Male,Adult,No
195,Male,Adult,No
196,Male,Adult,No
197,Male,Adult,No
198,Male,Adult,No
199,Male,Adult,No
200,Male,Adult,No
201,Male,Adult,No
202,Male,Adult,No
203,Male,Adult,No
204,Male,Adult,No
205,Male,Adult,No
206,Male,Adult,No
207,Male,Adult,No
208,Male,Adult,No
209,Male,Adult,No
210,Male,Adult,No
211,Male,Adult,No
212,Male,Adult,No
213,Male,Adult,No
214,Male,Adult,No
215,Male,Adult,No
216,Male,Adult,No
217,Male,Adult,No
218,Male,Adult,No
219,Male,Adult,No
220,Male,Adult,No
221,Male,Adult,No
222,Male,Adult,No
223,Male,Adult,No
224,Male,Adult,No
225,Male,Adult,No
226,Male,Adult,No
227,Male,Adult,No
228,Male,Adult,No
229,Male,Adult,No
230,Male,Adult,No
231,Male,Adult,No
232,Male,Adult,No
233,Male,Adult,No
234,Male,Adult,No
235,Male,Adult,No
236,Male,Adult,No
237,Male,Adult,No
238,Male,Adult,No
239,Male,Adult,No
240,Male,Adult,No
241,Male,Adult,No
242,Male,Adult,No
243,Male,Adult,No
244,Male,Adult,No
245,Male,Adult,No
246,Male,Adult,No
247,Male,Adult,No
248,Male,Adult,No
249,Male,Adult,No
250,Male,Adult,No
251,Male,Adult,No
252,Male,Adult,No
253,Male,Adult,No
254,Male,Adult,No
255,Male,Adult,No
256,Male,Adult,No
257,Male,Adult,No
258,Male,Adult,No
259,Male,Adult,No
260,Male,Adult,No
261,Male,Adult,No
262,Male,Adult,No
263,Male,Adult,No
264,Male,Adult,No
265,Male,Adult,No
266,Male,Adult,No
267,Male,Adult,No
268,Male,Adult,No
269,Male,Adult,No
270,Male,Adult,No
271,Male,Adult,No
272,Male,Adult,No
273,Male,Adult,No
274,Male,Adult,No
275,Male,Adult,No
276,Male,Adult,No
277,Male,Adult,No
278,Male,Adult,No
279,Male,Adult,No
280,Male,Adult,No
281,Male,Adult,No
282,Male,Adult,No
283,Male,Adult,No
284,Male,Adult,No
285,Male,Adult,No
286,Male,Adult,No
287,Male,Adult,No
288,Male,Adult,No
289,Male,Adult,No
290,Male,Adult,No
291,Male,Adult,No
292,Male,Adult,No
293,Male,Adult,No
294,Male,Adult,No
295,Male,Adult,No
296,Male,Adult,No
297,Male,Adult,No
298,Male,Adult,No
299,Male,Adult,No
300,Male,Adult,No
301,Male,Adult,No
302,Male,Adult,No
303,Male,Adult,No
304,Male,Adult,No
305,Male,Adult,No
306,Male,Adult,No
307,Male,Adult,No
308,Male,Adult,No
309,Male,Adult,No
310,Male,Adult,No
311,Male,Adult,No
312,Male,Adult,No
313,Male,Adult,No
314,Male,Adult,No
315,Male,Adult,No
316,Male,Adult,No
